responsibility,duration,location
Desarrollador de back-end,ene 2018 – jun 2018,Null
Desarollador Senior,2017,Null
Ingeniero de desarrollo de software,2015 – 2016,Null
Ingeniero de desarrollo de software,may 2021 – actualidad,Null
Testing Analyst,nov 2019 – nov 2020,Null
Ingeniero de sistemas,feb 2012 – mar 2018,Null
Ingeniero de sistemas,ene 2020 – ene 2021,Null
Ingeniero de sistemas,jun 2017 – actualidad,Null
Backend,abr 2020 – nov 2020,Null
Desarrollador web,jul 2019 – abr 2020,Null
Analista de sistema,oct 2018 – jul 2019,Null
Ingeniero de sistemas,oct 2017 – abr 2018,Null
Ingeniero de sistemas,abr 2016 – oct 2016,Null
Fotografo,ene 2014 – ene 2016,Null
Ingeniero de desarrollo,oct 2014 – ago 2015,Null
Intructor,ene 2013 – sept 2013,Null
Ingeniero de aplicaciones,mar 2021 – actualidad,Null
Coordinador de Novedades y Procesos BDUA. Dptal.,may 2020 – feb 2021,Null
Auxiliar de Acreditación y Autoevaluación,feb 2020 – may 2020,Null
Docente,nov 2019 – dic 2019,Null
Personal docente de informática,dic 2017 – nov 2019,Null
Auxiliar de Innovación y Tecnología,2003 – 2013,Null
Pasante Oficina de Sistemas,abr 2021 – actualidad,Null
Auxiliar de Sistemas,sept 2017 – actualidad,Null
Estudiante,dic 2020 – ene 2021,Null
"Nombre de la empresa
Servicio Nacional de Aprendizaje (SENA)",feb 2016 – ago 2016,Null
Full Stack Engineer,jun 2015 – dic 2015,Null
Co-Founder,sept 2014 – mar 2015,Null
Full Stack Engineer,abr 2014 – dic 2014,Null
Ingeniero de desarrollo de software,ene 2014 – abr 2014,Null
Desarrollador de Aplicaciones (web y Android),oct 2013 – feb 2014,Null
Programador Web,dic 2010 – nov 2012,Null
Practicante,jun 2011 – actualidad,Null
Programador,ene 2018 – dic 2018,Null
Gerente de Desarrollo,1 año y 10 meses,Null
Ingeniero Senior - Director de Investigacion y Desarrollo,may 2021 – actualidad,Null
Ingeniero de Soporte,may 2019 – actualidad,Null
Jefe de Inventarios y Despachos PNAAM SUCRE,jul 2018 – may 2021,Null
Tecnico en sistemas enlace Red Nacional de Informacion,ene 2017 – jun 2018,Null
Tecnico en sistemas,oct 2015 – jun 2018,Null
Ingeniero de Pruebas,ago 2014 – ene 2015,Null
Desarrollador Web,oct 2012 – ene 2013,Null
Desarrollador Web,ago 2010 – ene 2012,Null
Desarrollador Mid-Level,ene 2018 – actualidad,Null
Coordinador de sistemas,ene 2013 – actualidad,Null
Desarrollador de Software,ene 2012 – dic 2012,Null
Jefe Oficina de Informatica,jun 2008 – dic 2011,Null
Jefe de tecnología,sept 2018 – dic 2018,Null
Arquitecto Desarrollador,feb 2016 – dic 2016,Null
Profesional de Aplicaciones,jun 2016 – nov 2016,Null
Técnico de Sistemas,mar 2016 – jun 2016,Null
Técnico de Sistemas,oct 2015 – feb 2016,Null
Desarrollador en Bases de Datos Oracle,dic 2020 – actualidad,Null
Ingeniero de Sistemas,oct 2019 – dic 2020,Null
Ingeniero de software,feb 2018 – dic 2020,Null
Analista Ingeniera Software,ene 2012 – ene 2018,Null
Arquitecto Desarrollador,ene 2008 – nov 2011,Null
Gestor de Proyectos,sept 2017 – actualidad,Null
Desarrollador de Software,jul 2011 – sept 2017,Null
Asesor de Sistemas,ene 2011 – jun 2011,Null
Coordinador de sistemas,abr 2010 – dic 2010,Null
Coordinador de sistemas y comunicaciones,mar 2014 – actualidad,Null
"Coordinador de sistemas, radiología y archivos",jun 2012 – ene 2014,Null
Ingeniero de Sistemas,nov 2017 – actualidad,Null
Java Developer,may 2017 – nov 2017,Null
Developer Senior,nov 2014 – may 2017,Null
Programadora I-A,nov 2013 – nov 2014,Null
Pasante Universitario,oct 2012 – abr 2013,Null
Desarrollador web,jul 2011 – mar 2012,Null
Coordinador de sistemas,jun 2021 – actualidad,Null
Primary researcher,feb 2018 – may 2021,Null
Analista de Arquitectura,sept 2020 – feb 2021,Null
Arquitecto de software,sept 2012 – feb 2018,Null
Ingeniero de telecomunicaciones,abr 2021 – actualidad,Null
Coordinador de proyectos,ago 2018 – abr 2021,Null
Comisionador equipos Nokia.,nov 2013 – jul 2018,Null
Ejecutivo de campo,ene 2011 – jul 2011,Null
Tecnico Lider.,ago 2020 – actualidad,Null
Ejecutivo de Campo en importaciones y exportaciones.,ago 2019 – mar 2020,Null
QA Analyst,ene 2019 – mar 2019,Null
Analista de pruebas,2 años,Null
Auditor Área de Sistemas,jul 2020 – abr 2021,Null
Analista de TI - Ing. Sistemas,ago 2017 – jul 2019,Null
Mobile Application Developer,8 meses,Null
Software Developer,ene 2018 – actualidad,Null
Android Developer,ene 2019 – actualidad,Null
CEO,sept 2017 – ene 2018,Null
Ingeniero de Soporte Outsourcing,ene 2015 – oct 2016,Null
Ingeniero de Sistema,jul 2013 – sept 2014,Null
Ingeniero,oct 2010 – jul 2011,Null
Desarrollo web frontend,mar 2021 – actualidad,Null
Ingeniero de sistemas,sept 2019 – feb 2021,Null
Desarrollo web y soporte,nov 2017 – jul 2019,Null
Security Services Consultant - SIOC,abr 2016 – sept 2017,Null
Contratist Cyber Security Expert | CSIRT Government |,mar 2015 – actualidad,Null
Cyber Security Consultant,sept 2014 – feb 2015,Null
Ingeniera de Soporte en TI,nov 2013 – sept 2014,Null
Ingeniera de Soporte en TI,jul 2010 – nov 2013,Null
